OrgNummer,Navn,Filnavn,EndepunktProduksjon,EndepunktTest
937896670,Skudenes & Aakra Sparebank,Skudenes_og_Aakra_Sparebank_937896670_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3361,
937894716,Spareskillingsbanken,Spareskillingsbanken_937894716_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3060,
937895054,Søgne og Greipstad Sparebank,Sogne_og_Greipstad_Sparebank_937895054_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3090,
937897286,Voss Sparebank,Voss_Sparebank_937897286_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3480,
990323429,Gjensidige Bank,Gjensidige_Bank_990323429_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/9776,
937904029,Helgeland Sparebank,Helgeland_Sparebank_937904029_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/4519,
980374181,Landkreditt Bank,Landkreditt_Bank_980374181_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/9360,
911986884,OBOS-banken,OBOS-banken_911986884_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/9824,
937899319,Sparebanken Møre,Sparebanken_More_937899319_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3914,
937888937,Sparebanken Øst,Sparebanken_Ost_937888937_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/2229,
832554332,Sparebanken Vest,Sparebanken_Vest_832554332_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3601,
937896859,Fana Sparebank,Fana_Sparebank_937896859_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3400,
916012683,MyBank ASA,MyBank_ASA_916012683_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/916012683,
953299216,Storebrand Bank ASA,Storebrand_Bank_ASA_953299216_Accounts-API.json,https://api-proxy.sdc.dk/api/dsop-accounts-api/v1/banks/953299216,
946670081,Sparebanken Sogn og Fjordane,Sparebanken_Sogn_og_Fjordane_946670081_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/3702,
993821837,KLP Banken AS,KLP_Banken_AS_993821837_Accounts-API.json,https://bf-esb-internet.edb.com/secesb/rest/era-dsop/v1/8317,
995610760,Brage Finans AS,Brage_Finans_AS_995610760_Accounts-API.json,https://debtinfohub.brage.no/dsop-service/api/v1,https://testdebtinfohub.brage.no/dsop-service-test/api/v1
977074010,Danske Bank,Danske_Bank_977074010_Accounts-API.json,https://apiu.danskebank.no/prod/external-unauthenticated/dsop-controlling/v1,https://sandbox-apiu.danskebank.no/sandbox/external-unauth/dsop-controlling/v1
816914582,Instabank ASA,Instabank_ASA_816914582_Accounts-API.json,https://api.instabank.no/dsop-accounts/v1,https://api.instabank-no.openapi-test.banqsoft.com/dsop-accounts/v1
995268841,Bluestep Bank AB Filial Oslo,Bluestep_Bank_AB_Filial_Oslo_995268841_Accounts-API.json,,https://api-test.bluestep.se/koko/api/v1
991682511,Ekspress Bank,Ekspress_Bank_991682511_Accounts-API.json,https://apigateway.expressbank.dk/control-information/v1,https://apigateway.preprod.expressbank.dk/control-information/v1
916573154,Nordax Bank AB (PUBL),Nordax_Bank_AB_916573154_Accounts-API.json,,https://partner.preprod.nordax.com/DSOP/v1
913460715,BRAbank ASA,BRAbank_ASA_913460715_Accounts-API.json,,https://externalcontrolapi.bralabs.no
